"Month","Min_EXPORTS","Min_OUT","Min_SJR","Max_EXPORTS","Max_OUT","Max_SJR","mean_EXPORTS","mean_OUT","mean_SJR"
5,1069,2986,573,1512,6160,1320,1371.6,4785.33333333333,855.833333333333
6,1063,2122,617,1420,3815,1380,1220.86666666667,3077.3,1109.03448275862
7,1032,2249,1210,1492,4046,1410,1251.77419354839,3452.35483870968,1277.66666666667
8,951,3168,411,1680,4147,1360,1342.90322580645,3675.58064516129,905.58064516129
9,1737,2260,278,3330,4197,519,2634.73333333333,3086.83333333333,388.433333333333
