"","Region...1","term","estimate","std.error","statistic","coef.type","Yearf","emmean","std.erroremm","df","conf.low","conf.high",".group","Year","Letter","Region...16","ctab.1","ctab.2","ctab.3","p"
"43","OMR/Franks","Yearf2021", -1.069925600,3.794471e-01,-2.819696e+00,"coefficient","2021", -1.2455098,0.1805379,Inf, -1.5993577, -0.89166202,"  bc ",2021,"bc","OMR/Franks",-1.069926e+00, 3.794471e-01,-2.819696e+00,4.806911e-03
"44","OMR/Franks","Absent|Low", -1.097897644,3.397639e-01,-3.231355e+00,"scale","t|Lo",NA,NA,NA,NA,NA,NA,NA,NA,"OMR/Franks",-1.097898e+00, 3.397639e-01,-3.231355e+00,1.232049e-03
"45","OMR/Franks","Low|High",  1.449066116,3.432476e-01, 4.221635e+00,"scale","igh",NA,NA,NA,NA,NA,NA,NA,NA,"OMR/Franks", 1.449066e+00, 3.432476e-01, 4.221635e+00,2.425362e-05
"46","South Delta","Yearf2015", -0.346146170,3.952415e-01,-8.757839e-01,"coefficient","2015", -0.4748633,0.2656727,Inf, -0.9955723,  0.04584573,"    d",2015,"d","South Delta",-3.461462e-01, 3.952415e-01,-8.757839e-01,3.811475e-01
"47","South Delta","Yearf2016",  0.280200051,3.915583e-01, 7.156025e-01,"coefficient","2016",  0.1514830,0.2595751,Inf, -0.3572750,  0.66024087,"    d",2016,"d","South Delta", 2.802001e-01, 3.915583e-01, 7.156025e-01,4.742369e-01
"48","South Delta","Yearf2017", -4.142068365,5.449454e-01,-7.600887e+00,"coefficient","2017", -4.2707855,0.4601835,Inf, -5.1727286, -3.36884231," a   ",2017,"a","South Delta",-4.142068e+00, 5.449454e-01,-7.600887e+00,2.941074e-14
"49","South Delta","Yearf2018", -1.665554094,3.199154e-01,-5.206233e+00,"coefficient","2018", -1.7942712,0.1306044,Inf, -2.0502512, -1.53829122,"   c ",2018,"c","South Delta",-1.665554e+00, 3.199154e-01,-5.206233e+00,1.927131e-07
"50","South Delta","Yearf2019", -2.397826167,3.410563e-01,-7.030587e+00,"coefficient","2019", -2.5265433,0.1763160,Inf, -2.8721162, -2.18097035,"  b  ",2019,"b","South Delta",-2.397826e+00, 3.410563e-01,-7.030587e+00,2.056667e-12
"51","South Delta","Yearf2020", -1.273542849,3.238499e-01,-3.932510e+00,"coefficient","2020", -1.4022599,0.1397566,Inf, -1.6761778, -1.12834208,"   c ",2020,"c","South Delta",-1.273543e+00, 3.238499e-01,-3.932510e+00,8.406353e-05
"52","South Delta","Yearf2021", -1.626478625,3.320530e-01,-4.898250e+00,"coefficient","2021", -1.7551957,0.1580069,Inf, -2.0648835, -1.44550795,"   c ",2021,"c","South Delta",-1.626479e+00, 3.320530e-01,-4.898250e+00,9.669396e-07
"53","South Delta","Absent|Low", -0.967468751,2.978044e-01,-3.248671e+00,"scale","t|Lo",NA,NA,NA,NA,NA,NA,NA,NA,"South Delta",-9.674688e-01, 2.978044e-01,-3.248671e+00,1.159453e-03
"54","South Delta","Low|High",  1.224902947,3.000542e-01, 4.082272e+00,"scale","igh",NA,NA,NA,NA,NA,NA,NA,NA,"South Delta", 1.224903e+00, 3.000542e-01, 4.082272e+00,4.459750e-05
