StationCode,Latitude,Longitude
HLT,38.003100,-121.510800
MDM,37.943000,-121.534000
HOL,38.016400,-121.581900
FRK,38.046417,-121.598100
OSJ,38.071100,-121.578900
FAL,38.055800,-121.666900
