year,fl_rate_ppb,fl_area_ha,fl_quantity_kg
2006,NA,56.65604,NA
2007,NA,1314.015442,NA
2008,NA,1314.015442,NA
2009,NA,0,0
2010,NA,202.343,NA
2011,NA,976.507318,NA
2012,NA,283.2802,NA
2013,NA,0,0
2014,102.7943296,757.9364094,1876.046624
2015,NA,0,0
2016,170,422.89687,1731.111697
2017,177.5,443.940542,1897.426073
2018,114.5115453,455.676436,1256.456753
2019,NA,0,0
2020,NA,0,0
2021,NA,0,0
