latitude_wgs84,longitude_wgs84,date,rake_teeth_corr,species,rake_prop,geometry,site
38.01973843781592,-121.60321584565976,2021-07-20,100,Egeria_densa,20,"c(-121.60321584566, 38.0197384378159)",Franks Tract
38.01973843781592,-121.60321584565976,2021-07-20,100,Unidentified,80,"c(-121.60321584566, 38.0197384378159)",Franks Tract
38.019934496311656,-121.60309580994712,2021-07-20,0,NA,NA,"c(-121.603095809947, 38.0199344963117)",Franks Tract
38.02139666233524,-121.60333450366196,2021-07-20,100,Ceratophyllum_demersum,30,"c(-121.603334503662, 38.0213966623352)",Franks Tract
38.02139666233524,-121.60333450366196,2021-07-20,100,Potamogeton_richardsonii,70,"c(-121.603334503662, 38.0213966623352)",Franks Tract
38.02308877027779,-121.59816842330368,2021-07-20,0,NA,NA,"c(-121.598168423304, 38.0230887702778)",Franks Tract
38.023167585871526,-121.5981951979264,2021-07-20,100,Egeria_densa,40,"c(-121.598195197926, 38.0231675858715)",Franks Tract
38.023167585871526,-121.5981951979264,2021-07-20,100,Potamogeton_nodosus,60,"c(-121.598195197926, 38.0231675858715)",Franks Tract
38.024535262943495,-121.59954893351156,2021-07-20,100,Egeria_densa,20,"c(-121.599548933512, 38.0245352629435)",Franks Tract
38.024535262943495,-121.59954893351156,2021-07-20,100,Elodea_canadensis,80,"c(-121.599548933512, 38.0245352629435)",Franks Tract
38.02455425700785,-121.59881348315906,2021-07-20,100,Ceratophyllum_demersum,40,"c(-121.598813483159, 38.0245542570078)",Franks Tract
38.02455425700785,-121.59881348315906,2021-07-20,100,Elodea_canadensis,60,"c(-121.598813483159, 38.0245542570078)",Franks Tract
38.02464561195554,-121.60757468493654,2021-07-20,100,Stuckenia_pectinata,20,"c(-121.607574684937, 38.0246456119555)",Franks Tract
38.02464561195554,-121.60757468493654,2021-07-20,100,Unidentified,70,"c(-121.607574684937, 38.0246456119555)",Franks Tract
38.02525832533188,-121.61094717201836,2021-07-20,100,Unidentified,100,"c(-121.610947172018, 38.0252583253319)",Franks Tract
38.025755639143235,-121.60249539480488,2021-07-20,100,Ceratophyllum_demersum,60,"c(-121.602495394805, 38.0257556391432)",Franks Tract
38.025755639143235,-121.60249539480488,2021-07-20,100,Egeria_densa,40,"c(-121.602495394805, 38.0257556391432)",Franks Tract
38.025794611627795,-121.61082407168978,2021-07-20,100,Egeria_densa,10,"c(-121.61082407169, 38.0257946116278)",Franks Tract
38.025794611627795,-121.61082407168978,2021-07-20,100,Unidentified,90,"c(-121.61082407169, 38.0257946116278)",Franks Tract
38.02588378023677,-121.61005415380956,2021-07-20,100,Ceratophyllum_demersum,90,"c(-121.61005415381, 38.0258837802368)",Franks Tract
38.02588378023677,-121.61005415380956,2021-07-20,100,Egeria_densa,10,"c(-121.61005415381, 38.0258837802368)",Franks Tract
38.026050063507704,-121.5997374853905,2021-07-20,30,Elodea_canadensis,20,"c(-121.599737485391, 38.0260500635077)",Franks Tract
38.026050063507704,-121.5997374853905,2021-07-20,30,Stuckenia_pectinata,80,"c(-121.599737485391, 38.0260500635077)",Franks Tract
38.028726641554535,-121.61043945785256,2021-07-20,100,Ceratophyllum_demersum,20,"c(-121.610439457853, 38.0287266415545)",Franks Tract
38.028726641554535,-121.61043945785256,2021-07-20,100,Najas_guadalupensis,80,"c(-121.610439457853, 38.0287266415545)",Franks Tract
38.028822003858906,-121.60169793519898,2021-07-20,100,Stuckenia_pectinata,30,"c(-121.601697935199, 38.0288220038589)",Franks Tract
38.028822003858906,-121.60169793519898,2021-07-20,100,Unidentified,40,"c(-121.601697935199, 38.0288220038589)",Franks Tract
38.0300390217044,-121.61317422948636,2021-07-20,100,Ceratophyllum_demersum,50,"c(-121.613174229486, 38.0300390217044)",Franks Tract
38.0300390217044,-121.61317422948636,2021-07-20,100,Potamogeton_richardsonii,50,"c(-121.613174229486, 38.0300390217044)",Franks Tract
38.03108498235983,-121.61615545770636,2021-08-17,0,NA,0,"c(-121.616155457706, 38.0310849823598)",Franks Tract
38.0313065215088,-121.616216017924,2021-08-17,100,Egeria_densa,30,"c(-121.616216017924, 38.0313065215088)",Franks Tract
38.0313065215088,-121.616216017924,2021-08-17,100,Najas_guadalupensis,30,"c(-121.616216017924, 38.0313065215088)",Franks Tract
38.0313065215088,-121.616216017924,2021-08-17,100,Unidentified,40,"c(-121.616216017924, 38.0313065215088)",Franks Tract
38.031361236293115,-121.6065727226825,2021-07-20,20,Stuckenia_pectinata,100,"c(-121.606572722683, 38.0313612362931)",Franks Tract
38.03212023991843,-121.5846383454844,2021-07-20,100,Egeria_densa,100,"c(-121.584638345484, 38.0321202399184)",Franks Tract
38.03275287590838,-121.58735638838354,2021-07-20,50,Egeria_densa,30,"c(-121.587356388384, 38.0327528759084)",Franks Tract
38.03275287590838,-121.58735638838354,2021-07-20,50,Potamogeton_richardsonii,70,"c(-121.587356388384, 38.0327528759084)",Franks Tract
38.032941339777,-121.60314075384969,2021-07-20,100,Najas_guadalupensis,100,"c(-121.60314075385, 38.032941339777)",Franks Tract
38.032941339777,-121.60314075384969,2021-07-20,100,Potamogeton_richardsonii,0,"c(-121.60314075385, 38.032941339777)",Franks Tract
38.03435720811053,-121.59603955753452,2021-07-20,0,NA,NA,"c(-121.596039557535, 38.0343572081105)",Franks Tract
38.0352199070404,-121.60106999147986,2021-07-20,20,Stuckenia_pectinata,100,"c(-121.60106999148, 38.0352199070404)",Franks Tract
38.03565085899359,-121.59079960591149,2021-07-20,100,Ceratophyllum_demersum,50,"c(-121.590799605911, 38.0356508589936)",Franks Tract
38.03565085899359,-121.59079960591149,2021-07-20,100,Egeria_densa,40,"c(-121.590799605911, 38.0356508589936)",Franks Tract
38.036745642621305,-121.60027346089085,2021-07-20,100,Ceratophyllum_demersum,30,"c(-121.600273460891, 38.0367456426213)",Franks Tract
38.036745642621305,-121.60027346089085,2021-07-20,100,Najas_guadalupensis,70,"c(-121.600273460891, 38.0367456426213)",Franks Tract
38.039480173823215,-121.62470160806475,2021-08-17,100,Ceratophyllum_demersum,30,"c(-121.624701608065, 38.0394801738232)",Franks Tract
38.039480173823215,-121.62470160806475,2021-08-17,100,Egeria_densa,20,"c(-121.624701608065, 38.0394801738232)",Franks Tract
38.039480173823215,-121.62470160806475,2021-08-17,100,Elodea_canadensis,30,"c(-121.624701608065, 38.0394801738232)",Franks Tract
38.039480173823215,-121.62470160806475,2021-08-17,100,Myriophyllum_spicatum,20,"c(-121.624701608065, 38.0394801738232)",Franks Tract
38.039480173823215,-121.62470160806475,2021-08-17,100,Najas_guadalupensis,30,"c(-121.624701608065, 38.0394801738232)",Franks Tract
38.04091998824493,-121.62068036899724,2021-08-17,100,Ceratophyllum_demersum,0,"c(-121.620680368997, 38.0409199882449)",Franks Tract
38.04091998824493,-121.62068036899724,2021-08-17,100,Myriophyllum_spicatum,0,"c(-121.620680368997, 38.0409199882449)",Franks Tract
38.04091998824493,-121.62068036899724,2021-08-17,100,Stuckenia_pectinata,90,"c(-121.620680368997, 38.0409199882449)",Franks Tract
